,,Driver,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Main Race,AUS,CHN,JPN,BAH,SAU,MIA,CAN,MON,SPA,AUS,BRI,BEL,HUN,NET,ITA,AZE,SIN,USA,MEX,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Sprint,CHNS,SAUS,AUSS,NETS,USAS,BRAS,TOTAL,Average PG
,AU,Joshua Nathanial,DNF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CN,Zhao Lei,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Maikel Zwart,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Wesley Vandesteene,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,George Konstantaras,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Riley Swansson,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Sam Fakt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Sarah Springfield,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Richard Hicks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Robin Keisner,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BG,Julian Kondra,DNF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,Michiii Maradöner,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F1CC Reverse,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average,Win,Pod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EE,Quarter Kevu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Lukus Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FI,Eetu Väisänen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PT,Afonso Cachinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TR,Eren Aygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Lucas Koopman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GB,Jason Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Philippe Verhaeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Joshua Nathanial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CN,Zhao Lei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Maikel Zwart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Wesley Vandesteene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,George Konstantaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Riley Swansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Sam Fakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Sarah Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Richard Hicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Robin Keisner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BG,Julian Kondra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,Michiii Maradöner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F1CC MotoGP,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EE,Quarter Kevu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Lukus Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FI,Eetu Väisänen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PT,Afonso Cachinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TR,Eren Aygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Lucas Koopman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GB,Jason Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Philippe Verhaeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Joshua Nathanial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CN,Zhao Lei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Maikel Zwart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Wesley Vandesteene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,George Konstantaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Riley Swansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Sam Fakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Sarah Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Richard Hicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Robin Keisner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BG,Julian Kondra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,Michiii Maradöner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F1CC Indycar,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EE,Quarter Kevu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Lukus Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FI,Eetu Väisänen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PT,Afonso Cachinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TR,Eren Aygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Lucas Koopman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GB,Jason Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Philippe Verhaeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Joshua Nathanial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CN,Zhao Lei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Maikel Zwart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Wesley Vandesteene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,George Konstantaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Riley Swansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Sam Fakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Sarah Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Richard Hicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Robin Keisner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BG,Julian Kondra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,Michiii Maradöner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F1CC Position Point,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EE,Quarter Kevu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Lukus Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FI,Eetu Väisänen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PT,Afonso Cachinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TR,Eren Aygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Lucas Koopman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GB,Jason Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Philippe Verhaeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Joshua Nathanial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CN,Zhao Lei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Maikel Zwart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Wesley Vandesteene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,George Konstantaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Riley Swansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Sam Fakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Sarah Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Richard Hicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Robin Keisner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BG,Julian Kondra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,Michiii Maradöner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FECC,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,NASCARCC,Mario,03/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EE,Quarter Kevu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Lukus Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FI,Eetu Väisänen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PT,Afonso Cachinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TR,Eren Aygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Lucas Koopman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GB,Jason Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Philippe Verhaeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Joshua Nathanial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CN,Zhao Lei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Maikel Zwart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BE,Wesley Vandesteene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,George Konstantaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Riley Swansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Sam Fakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Sarah Springfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AU,Richard Hicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,Robin Keisner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BG,Julian Kondra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GR,Michiii Maradöner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991 - 2002 F1CC,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,WRCCC,11th,Pod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EE,Quarter Kevu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,Lukus Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FI,Eetu Väisänen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PT,Afonso Cachinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TR,Eren Aygen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NL,Lucas Koopman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
