,,Driver,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Main Race,AUS,CHN,JPN,BAH,SAU,MIA,CAN,MON,SPA,AUS,BRI,BEL,HUN,NET,ITA,AZE,SIN,USA,MEX,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Sprint,CHNS,SAUS,AUSS,NETS,USAS,BRAS,TOTAL,Average PG
,DE,Robin Keisner,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,,,DE,Robin Keisner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,DE,Robin Keisner,0,0,0,0,0,0,0,0
,BG,Julian Kondra,DNF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,BG,Julian Kondra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,BG,Julian Kondra,0,0,0,0,0,0,0,0
,GR,Michiii Maradöner,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,,,GR,Michiii Maradöner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,GR,Michiii Maradöner,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,QUALIFYING,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average,EPP,,,QUALIFYING,AUS,CHN,JPN,BAH,SAU,MIA,CAN,MON,SPA,AUS,BRI,BEL,HUN,NET,ITA,AZE,SIN,USA,MEX,BRA,LVG,ABU,TOTAL,Average,,,,QUALIFYING,CHNS,SAUS,AUSS,NETS,USAS,BRAS,TOTAL,Average
,EE,Quarter Kevu,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,"P2,0",2,,EE,Quarter Kevu,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,EE,Quarter Kevu,,,,,,,0,Waiting...
